Doctor ID,Doctor Name,Specialty,Phone Number,Years Of Experience,Hospital Affiliation,Hospital/Clinic,Specialization,Email
45880,Raymond Copeland,Orthopedics,288.692.4554x34158,6,Hunt Group,Clark Inc,Cardiology,hansonmichael@hotmail.com
38988,Mark Elliott,Orthopedics,+1-714-081-8990x746,18,Sanchez LLC,Walker-Smith,General Medicine,mwalker@robinson-erickson.com
8617,Matthew Davis,Cardiology,+1-519-808-3770x46283,30,Hernandez Inc,Townsend Group,Orthopedics,sherrirodriguez@yahoo.com
63597,Ashley Alexander,General Medicine,413-003-9640x71987,5,"Johnson, Turner and Ewing","Flores, Cruz and Garcia",Orthopedics,rodriguezemily@cooper.com
62787,Stacy Jenkins,Cardiology,2614746314,12,Hudson-Cruz,Gibson-Stone,Neurology,ryan77@miller-brooks.biz
47896,Eric Quinn,Cardiology,683-882-5238x7907,8,Le-Smith,Weber Inc,Pediatrics,tristanwilliams@jones-vance.com
58500,Deborah Robinson,General Medicine,166-102-6391x25173,2,"Smith, Martin and Quinn","Combs, Mcgee and Olson",Orthopedics,james22@johnson-conner.info
29452,Pamela Knapp,Cardiology,+1-657-692-5136x071,27,Perez and Sons,Ramirez-Parrish,Neurology,brownsara@hunter.biz
20643,Jacob Adams,General Medicine,+1-568-146-2951,24,"Hernandez, Henry and Taylor","Lewis, Berry and Miller",General Medicine,david49@wright-wood.com
95996,Samantha Mullins,Cardiology,127.344.8791x7668,37,"Reese, Gonzales and Mccarty","Burton, Oconnor and Burns",Orthopedics,williamsaaron@yahoo.com
40316,Stacy Lester,Orthopedics,+1-428-895-8177,22,Li Ltd,Stevenson Group,Orthopedics,ctucker@yahoo.com
29512,Brittany Diaz,General Medicine,+1-712-869-3901,11,Wade-Vasquez,Johnson Ltd,Neurology,melissa96@long.org
26885,Albert Rosario,General Medicine,051-094-9995,5,Knight-Massey,"Moore, Fox and Mcfarland",Pediatrics,zrivera@gmail.com
90331,Mandy Willis,Neurology,490-900-0783x439,27,Ross PLC,Davis Ltd,General Medicine,mary58@ali.info
57469,Andrew Garcia,Orthopedics,(343)213-4739,35,"Black, Delgado and Daniels","Mckinney, Hayden and Mills",General Medicine,zboyer@hotmail.com
1107,Christian Lozano,Cardiology,541-893-6955x59739,32,"Hurst, Lucero and Ball",Jones-Shaffer,General Medicine,xibarra@hotmail.com
72762,Benjamin Brown,General Medicine,+1-970-462-0885x1957,18,"Thompson, Adams and Thompson",Bennett Inc,General Medicine,harrisbrandon@yahoo.com
93881,James Bell,Neurology,(424)846-3769x7562,10,"Snow, Patel and Adams","Dickerson, Moreno and Stevenson",General Medicine,williamsjames@gmail.com
90508,Spencer Garcia,Orthopedics,3597998562,34,"Ford, Buckley and Martinez",Garza-Meza,Cardiology,rlambert@rojas.info
40753,Joshua Yang,Orthopedics,001-468-200-2433x091,27,Meyer PLC,Smith LLC,Pediatrics,lewisthomas@williams.com
41384,Rebecca Malone,Cardiology,(755)111-8026,31,Wade and Sons,Allen Ltd,Cardiology,danielsdonald@bell.com
25486,Jane Clayton,Neurology,+1-123-019-2113x878,31,"Kim, Hernandez and Pugh",Gomez PLC,Cardiology,sarahyu@hotmail.com
48636,Tammy Ramsey,General Medicine,+1-330-086-7688x54851,26,Miller Inc,"Mosley, Turner and Smith",General Medicine,riddlestacey@yahoo.com
24802,Robert Simpson,Neurology,(344)591-8507x18543,37,Jenkins LLC,Garcia Ltd,Neurology,smitheduardo@rodriguez-perez.biz
25997,Jennifer Bryan,Orthopedics,(750)200-8283x540,27,Murray-Robertson,"Jones, Cole and Hampton",Pediatrics,rodriguezleslie@carpenter-anderson.com
98369,Austin Hoffman,Pediatrics,(771)394-2413x718,24,Torres-Young,Pineda and Sons,General Medicine,courtneyyates@hotmail.com
31557,Rachel Zimmerman,Neurology,419-952-3976x282,19,"Phillips, Flores and Conner",Brown-Dawson,Pediatrics,haleyhorton@gmail.com
46667,Crystal Chapman,Orthopedics,(225)626-7961x12309,24,"Garcia, Garcia and Lucas","Carroll, Crawford and Crawford",Orthopedics,jameshampton@white.com
65549,Kendra Miller,Neurology,+1-953-384-1020x744,26,Dixon and Sons,"Russell, Strong and Parsons",Neurology,pthomas@maxwell.com
17447,Anthony Mason,General Medicine,(902)530-7359x5537,2,"Meyers, Boyer and Nguyen",Pollard-Jones,Pediatrics,shawncastaneda@hotmail.com
85828,Lisa Franklin,Pediatrics,+1-250-932-1704,13,Wilkerson PLC,Johnson-Johnson,Neurology,ashley90@daniels.net
49676,Ronald Simmons,Cardiology,(931)539-6131x6643,9,Munoz PLC,"Powers, Phillips and Franklin",Pediatrics,robert91@marsh.com
70603,Rachel Snyder DDS,General Medicine,+1-168-839-2461x08175,18,Lutz LLC,Foley Ltd,Neurology,ugeorge@charles-romero.com
20189,Danielle Patton,Cardiology,641-990-5559x25502,23,Jones-Torres,Meyer Inc,Cardiology,woodardpamela@hotmail.com
73147,Joshua Burnett,Cardiology,7673885901,31,"Petty, Delgado and Wiley",Kane Ltd,Neurology,romerokyle@mcclure-bates.com
69551,James Elliott,Orthopedics,(627)940-5302x9962,33,"Wilson, Jackson and Valencia",Crawford-Alvarez,Neurology,alison46@moon.com
3302,Erin Thompson,Pediatrics,852.641.2618,12,"Ramos, Wilson and Brooks",Davis Group,General Medicine,calvinthornton@yahoo.com
63272,Jennifer Boyer,Neurology,(854)821-0314x77963,28,Wood-Wang,Brown-Rivera,Cardiology,sandra22@gmail.com
52257,Patricia Smith,Pediatrics,521.591.8993x59241,13,Rivera-Ellis,Wheeler-Olson,General Medicine,thomasmoreno@hotmail.com
72003,Johnny Jones,Pediatrics,+1-210-311-6798x2902,37,Hicks-Chambers,Combs-Davis,Orthopedics,karen35@smith.org
87187,Alexis Underwood,Neurology,360-194-2162x1616,30,"Vazquez, Lopez and Clark","Ford, Griffin and Myers",Cardiology,kimberlymcdonald@allen-gonzales.com
57806,Adam Foster,Neurology,719-720-4975x24402,21,Alvarez Group,Berry LLC,General Medicine,wrightwilliam@hotmail.com
82628,Cassandra Cooke,Neurology,+1-110-102-6498x407,14,Nguyen-Johnson,"Morgan, Smith and Mata",Orthopedics,lambkevin@gmail.com
89982,Sara Webb,Neurology,562.132.8044x558,15,"Henson, Oliver and Luna",Ibarra and Sons,Pediatrics,zscott@yahoo.com
10482,Elizabeth Garrison,General Medicine,957-711-8674x297,27,Kim LLC,Jones Inc,Pediatrics,carpenterbenjamin@king.com
69211,Randy Morgan,General Medicine,121-586-0333x96724,17,"Johnson, Martinez and Rivera","Raymond, Osborne and Stewart",Neurology,taylorrocha@middleton-chen.com
75699,Ann Simmons,General Medicine,+1-342-482-0797x5006,36,Hall and Sons,"Baldwin, Webster and Simpson",Pediatrics,randerson@green.com
43549,Lisa Boyle,Cardiology,+1-534-992-1047x4700,20,"Scott, Allen and Vasquez","Thompson, Ray and Jones",General Medicine,davidkemp@yahoo.com
88128,David Scott,Cardiology,459-859-3572,29,Tran-Lane,Robinson-Howard,Pediatrics,dunlapjohn@gmail.com
88588,Gerald Aguilar,Pediatrics,196.939.3855,32,Espinoza-Edwards,Levine-Matthews,Neurology,coopermichael@jones.com
22337,Matthew Thomas,Cardiology,001-157-132-6562,11,Hahn Ltd,Myers-Daniels,Cardiology,rodriguezjohn@yahoo.com
89783,Kayla Ross,General Medicine,(394)124-7888,35,"Stanley, Smith and Brooks","Mason, Odonnell and Jones",Orthopedics,dperry@yahoo.com
99555,Cole Morgan,Pediatrics,725.700.0181x4774,36,"Benson, Lopez and Vance",Smith PLC,Cardiology,patrick47@taylor.org
92962,Katrina Alexander MD,General Medicine,720.169.5760,20,Thompson-Murphy,"Coleman, Romero and Bryant",Cardiology,qmatthews@smith.info
47563,Darryl Daniels,Cardiology,459-043-9064x7149,39,Charles-Robinson,Rojas-Lee,Pediatrics,hernandezmelissa@powers-brewer.info
35759,Kimberly Morales,Neurology,064.667.8646x391,36,Anderson-Smith,Townsend-Ellis,Cardiology,pattersondavid@armstrong.com
6561,Sandra Thomas,General Medicine,+1-468-175-1622x927,8,Kennedy LLC,Taylor-Leonard,Cardiology,dan98@ryan.info
98317,Michael Holland,Orthopedics,778.976.0007,12,"Cooper, Moss and Smith","Buchanan, Wood and Maldonado",Pediatrics,zmiller@yahoo.com
98555,Rebecca Smith,Orthopedics,096.112.8956,3,Lin-Marquez,Morris-Mitchell,General Medicine,kgibson@yahoo.com
84109,Megan Ross,Cardiology,+1-731-761-5992x756,19,Ortega-Newman,Cox-Bush,Pediatrics,guzmanlisa@marshall-scott.com
77,Michael Cardenas,Pediatrics,7937050051,16,Oconnell-Stanley,Green-Henderson,Neurology,estesmegan@knight-harper.com
56572,David Stevens,Pediatrics,+1-877-021-7132x708,15,Frost-Morrison,"Hurst, Gonzales and Cobb",Neurology,warrenmary@gmail.com
90738,Noah Ramirez,Neurology,001-744-316-8940,33,Taylor and Sons,Miller-Wall,Cardiology,rickdorsey@gmail.com
72608,Robert Huff,Orthopedics,(229)906-0006,10,Martin-Juarez,Cantrell LLC,Neurology,qpeterson@hotmail.com
4553,Jennifer Smith,Pediatrics,(496)231-7845,24,"Wood, Frank and Owens",Bowen Group,Pediatrics,jessicafox@gmail.com
50599,Gabrielle Pena,General Medicine,693.077.2786x2487,13,"Smith, Douglas and Hernandez","Garcia, Dougherty and Mcclain",General Medicine,dparsons@hotmail.com
46938,Alexander Travis,Orthopedics,+1-781-623-7869x0275,26,Wise-Bowman,Rogers PLC,General Medicine,nathaniel31@cooper-miller.info
91213,Brittany Hall,Pediatrics,843.668.5745,7,Martinez-Stevens,"Howard, Montoya and Adams",Neurology,nicholaspena@gmail.com
88122,Michelle Anderson PhD,General Medicine,+1-365-315-8865x489,25,White PLC,"Ryan, Jackson and Snyder",Neurology,allison02@taylor.com
53064,Rickey Brown,Orthopedics,101.669.9381x8810,37,"Garcia, Armstrong and Harper",Odom Inc,General Medicine,hartmanscott@elliott.biz
16986,Diane Bird,Cardiology,001-139-522-7251x760,5,Ward PLC,Harris-Torres,Pediatrics,manuelsmith@hotmail.com
71551,James Petty,Cardiology,546.499.4863,36,Thompson Ltd,"Blair, Cabrera and Watson",General Medicine,megan66@martinez.biz
94664,Marcus Hudson,Pediatrics,508-936-7958x36774,24,"Stewart, Rogers and Holmes",Garcia Group,Orthopedics,brian61@rice.com
93034,Ryan Mccall,Cardiology,(425)617-5358,11,Smith LLC,"Patel, Williams and Harris",Cardiology,tiffany00@gmail.com
34337,Stephanie Tapia,Cardiology,+1-852-333-0302x583,28,Scott PLC,Martin LLC,General Medicine,xgarcia@campbell.info
36366,Brian Baker,Orthopedics,200.224.0897x475,30,Vazquez Ltd,Hernandez Inc,Neurology,gloverdawn@yates.info
64827,Chase Williams,Pediatrics,930-688-3424x722,5,Pugh-Gray,Foster-Smith,Cardiology,foxjames@mckenzie.info
94562,Nathan Henry,Neurology,+1-475-154-0603,30,Torres Inc,Smith-Tran,Cardiology,robertpatrick@hotmail.com
56085,Jessica David,Orthopedics,237-538-3237,32,"Wyatt, Sanchez and Mann",Berg-Richardson,Pediatrics,sarahweiss@houston.com
11943,Raymond Cook,Neurology,+1-911-192-0966x372,20,Smith-Hensley,Kennedy-Newman,Orthopedics,nphillips@yahoo.com
8747,Debra Gordon,General Medicine,001-957-863-5627x116,23,Anderson PLC,Smith-Wood,Cardiology,fwashington@charles.info
53949,Bryan Robinson,Pediatrics,(219)151-0223x854,19,Lopez-Thompson,Jones Inc,General Medicine,courtneyedwards@carson-nolan.com
70040,Joseph Manning,Cardiology,+1-750-801-3096,33,Hanson LLC,"Howe, Simmons and Scott",Pediatrics,margaretroy@savage.net
83670,Mr. Travis Anderson,Orthopedics,(919)733-0769x17246,30,Hubbard-Cummings,Harris Group,Cardiology,bryantpamela@yahoo.com
75884,Ashley Garrett,Neurology,149.652.4863x4377,14,Kelley Inc,Garcia LLC,Neurology,michael05@scott.com
34402,Debra Jackson,Cardiology,(681)182-7187x04205,23,"Garcia, Brown and Watson","Brown, Harris and Rice",General Medicine,xduke@reid.com
21885,Victor Robinson,Cardiology,001-149-038-9122x63604,22,"Jackson, Nelson and Mason",Lewis-Kelly,Pediatrics,nhawkins@gmail.com
27777,Danielle Levy,Cardiology,(221)239-1257x45395,20,"Fox, Lawson and Andrews",Solis-Wright,Neurology,frankgraham@yahoo.com
81714,Kyle Dorsey,Neurology,001-767-195-0473x6228,25,"Wilson, Miller and Osborne",Sloan-Rosario,Neurology,hooddanielle@hotmail.com
82940,Joy Thomas,General Medicine,895.236.1485,34,Avery PLC,"Brown, Brown and Schneider",Orthopedics,michaeltaylor@hotmail.com
15961,Nathan White,Pediatrics,(405)115-2126,23,Reed-Reynolds,Stevens-Romero,General Medicine,pricedonald@prince.biz
85128,Maria Norman,General Medicine,001-156-365-6268x43626,10,Holland-Hall,"Hardin, Gregory and Washington",Orthopedics,stephen27@fuller.net
57142,Joshua King,General Medicine,585.454.1814x48391,11,Carr Ltd,"Jackson, Hernandez and Aguilar",Neurology,reneemiller@hotmail.com
8730,Mary Manning,Cardiology,699-738-6782x626,31,Reynolds Ltd,Lloyd Ltd,General Medicine,sharpraymond@gmail.com
45564,Jason Garcia,Orthopedics,140.260.8061x5576,36,Smith-Weaver,Fletcher LLC,General Medicine,vrogers@gmail.com
67325,Terry Campos,Pediatrics,(401)656-8175x20799,32,Taylor-Walker,"Barrera, Allen and Burton",General Medicine,colonjoshua@kaiser.com
76980,Ariel Mason,Pediatrics,252.821.3232x393,26,Roach Group,"Duncan, Brown and Parks",Pediatrics,taylorstewart@hotmail.com
46308,Jessica Williams,Cardiology,+1-015-562-3504x91689,3,Miller LLC,"Ferrell, Horton and Sexton",Neurology,paul58@montes-young.org
36815,Daniel Nunez,Neurology,+1-134-982-5502x42145,35,Montes and Sons,Sullivan PLC,Pediatrics,uyates@baker-williams.com
75933,Molly Washington,Neurology,+1-189-201-6478x331,38,"Williams, Owens and Jones",Brown-Miller,Cardiology,jacquelinecopeland@nichols-ball.com
72497,Katie Cruz,Neurology,+1-478-978-8807x538,26,Brown Inc,Pierce-Finley,Neurology,burnettveronica@fox.com
79422,Cassandra Smith,Orthopedics,(902)728-1867,14,"Barry, Green and Williams","Hall, Conrad and Anderson",General Medicine,brownjessica@robinson-cruz.com
5413,Matthew House,Pediatrics,103-590-8299x272,18,Schwartz-Grimes,Skinner PLC,Neurology,robertstonya@bean.com
35744,Lisa Duncan,Cardiology,617-379-3240,1,Benjamin Inc,"Mathis, Bender and Osborn",Pediatrics,bthomas@mckenzie.com
74133,Carla Lewis,Orthopedics,(763)044-4832x55754,1,Figueroa-Smith,"Price, Hutchinson and Allen",General Medicine,drakeerika@hoffman.com
14644,Madison Keith,Cardiology,+1-690-614-8174,28,Lamb-Rojas,"Williams, Higgins and Barker",General Medicine,markramirez@yahoo.com
96186,Kyle Dyer,Pediatrics,(435)948-0822x938,4,Klein-Ferrell,Rodriguez PLC,Neurology,brandon09@yahoo.com
91176,Jasmine Shaw,Neurology,476.494.9412,37,"Turner, Turner and Mendez","Johnson, Gutierrez and Robinson",Pediatrics,wwillis@gmail.com
58531,Dylan English,General Medicine,+1-690-269-4952,22,Ayala LLC,Collins Ltd,Neurology,bishopmatthew@yahoo.com
59577,Scott Hood,Pediatrics,+1-147-854-7117x18228,12,Smith-Weiss,"Berger, Garcia and Gonzales",Pediatrics,qhawkins@kim.com
65780,Michael Gomez,General Medicine,424-807-3257x11612,34,Richardson-Torres,Simpson Group,General Medicine,gordonjoshua@gmail.com
87115,Karen Martinez,General Medicine,6509777792,34,Romero-Jenkins,"Munoz, Smith and Massey",Pediatrics,jensenmelissa@glenn-romero.com
8760,Corey Robbins,Orthopedics,(126)998-1853x699,32,Brown-Morgan,"Lamb, Jones and Hill",Cardiology,jameshenderson@hotmail.com
73903,Wendy Lynch,General Medicine,605-462-2289x523,2,Gallagher PLC,Yu-Vazquez,Cardiology,olong@cisneros.biz
60026,Megan Woodward,Cardiology,688.616.2076x581,36,Bailey-Morris,Robinson-Brown,Orthopedics,michaelmann@jarvis.com
36639,Heather Carpenter,Pediatrics,(048)227-2179,25,Malone-Smith,Gross-Barnes,Cardiology,yvazquez@yahoo.com
78098,Susan Roy,General Medicine,+1-826-779-0676x64156,37,Parrish Inc,Ward PLC,Orthopedics,chad02@hotmail.com
19423,Alex Goodwin,Neurology,001-978-461-1158x962,31,"Alexander, Young and Mendoza","Berry, Williams and Perez",General Medicine,stevensdebra@yahoo.com
9490,Cindy Rodriguez,Cardiology,582.878.7014,20,Wiley PLC,Farmer-Larsen,Cardiology,munozbrenda@rogers-west.biz
67052,Timothy Meyers,Cardiology,(252)902-2893x93999,8,"Baird, Harris and Webb","Cooper, Delgado and Kelley",General Medicine,christopher47@gmail.com
22900,Alexandra Johnson,Orthopedics,745-119-4085,3,Wells Group,Wright-Carroll,Pediatrics,craig32@gonzalez-thompson.info
58112,Benjamin Johnson,General Medicine,(467)771-8593,10,Gonzales-Knight,Zhang-Sanchez,Pediatrics,shirleybryant@hotmail.com
59121,Michael Williams,Cardiology,401.203.9183,28,"Newton, Rogers and Conley",Casey-Young,Orthopedics,careyadam@hotmail.com
50232,Charles Moran,Orthopedics,955-886-4434x804,15,"Hobbs, Wells and Fisher",Torres LLC,General Medicine,braddelacruz@gmail.com
78750,Steven Walsh,General Medicine,+1-870-741-5718,38,White Ltd,Lambert-Graves,Pediatrics,xallison@gomez.biz
89168,Megan Vasquez,Orthopedics,001-038-031-5982x0044,34,Brewer Inc,"Haas, Perez and Rose",Orthopedics,adam42@gmail.com
87849,Christopher Phillips,Orthopedics,465-874-4505,9,Ferguson PLC,Leonard-Bailey,Orthopedics,ellissarah@yahoo.com
68856,Stephanie Miller,Cardiology,001-625-490-4897x20572,32,Rivera-Hall,Smith Group,Pediatrics,qwalker@yahoo.com
84442,Elizabeth Bowers,General Medicine,(359)934-3981x893,39,Johnson Group,"Potter, Cole and Smith",Cardiology,ofisher@andrews.com
12026,Travis Foster,Pediatrics,001-608-971-2040x6665,13,"Alexander, Hawkins and Wright",Morris-Dorsey,Cardiology,aclark@powell.com
78367,Keith White,Cardiology,001-553-808-4392x742,13,Cooper Group,Cooper-Jones,Cardiology,dsmith@gmail.com
65459,David Hayden,Pediatrics,176-654-7979x2744,8,Howard-Wilkinson,Myers Ltd,Orthopedics,bakerjoseph@yahoo.com
45400,Melissa House,Pediatrics,(027)639-5912x326,27,Oliver-Bowman,"Wright, Hurley and Gardner",Neurology,david93@duffy.net
75124,David Hobbs,Cardiology,001-506-465-2145,36,Ross-Jones,Smith-Jacobson,Cardiology,elee@hernandez-hickman.com
51690,Erin Walker,Neurology,(046)825-9408,25,Chapman LLC,"Hess, Brown and Long",Cardiology,lopezkathleen@yahoo.com
75297,Megan Stewart,General Medicine,+1-007-390-8936,6,Fletcher Inc,Davis Inc,Pediatrics,wilkinsonjason@gutierrez.info
59161,Cheryl Watts,General Medicine,001-136-194-1931x59169,8,Henderson Group,"Harvey, Allen and Davis",Neurology,jenkinschristine@gmail.com
99775,Laura Lin,Neurology,+1-705-083-4523x665,15,Stewart-Ramirez,Schwartz-Rodriguez,Pediatrics,huntdawn@gmail.com
5503,Brooke Ellison,Cardiology,209-845-9936,20,"Williams, King and Griffin",Brown LLC,General Medicine,turnerwilliam@gmail.com
51489,Tracey Byrd,Cardiology,118.852.5393x29944,10,Harris Inc,Hays Inc,Pediatrics,lstanley@yahoo.com
72366,Bethany Hamilton,Pediatrics,+1-747-839-4814x344,26,"Cooper, Hamilton and Gentry",Kennedy and Sons,Orthopedics,scottbrian@lopez.com
3475,Allen Watkins,Neurology,971.626.3234,35,Garcia Inc,Butler and Sons,Orthopedics,yharris@gmail.com
5213,James Garner,Pediatrics,465-055-1905x8641,23,Johnson-Anderson,Best Inc,Cardiology,billyking@sandoval-reeves.org
12918,Anna Hamilton,General Medicine,013.999.0274x568,36,Saunders PLC,Lopez-Brown,Cardiology,jlopez@moore-gates.com
96517,Judith Anderson,Neurology,001-967-749-4866x43533,16,Morrow-Peterson,Nelson PLC,Orthopedics,louiswilliams@gray.net
74490,Robert Heath,Pediatrics,516-523-5056x579,14,Horne Group,"Ho, Stewart and Brown",Pediatrics,bruce94@yahoo.com
33479,William Bass,Neurology,001-652-353-2931x1639,20,Rogers-Schroeder,"Cameron, Rogers and Washington",General Medicine,brian27@hotmail.com
30914,Diane Garcia,Pediatrics,847.297.7695,18,"Alexander, Bennett and Mack",Kennedy-Hill,Neurology,richard61@gmail.com
42063,John Gonzales,Cardiology,3329685018,5,"Ellis, Moore and Hall",Hardin LLC,General Medicine,elizabeth60@hotmail.com
140,Mr. Lucas Hamilton,General Medicine,+1-609-088-0991x09887,24,Maddox PLC,"Evans, Watts and Cole",General Medicine,anthonymorgan@berger.org
64615,Frederick Schultz,Neurology,5050272636,31,Holland-Rivera,Jenkins-Peterson,Cardiology,steven76@yahoo.com
53169,Mary Marshall,Cardiology,4798559568,14,Howard-Morrison,Hendricks LLC,General Medicine,cliffordmartin@rogers.com
17429,Jeffrey Lozano,General Medicine,304-862-4473x223,13,Pena-Ramirez,"White, Rodriguez and Thomas",General Medicine,ebonyfowler@hotmail.com
50726,Jason Navarro,General Medicine,241.496.9358,19,Thomas-Ingram,Ferguson Inc,General Medicine,andrew90@jones.org
96340,Martin Phillips,Neurology,(941)792-8475x06926,7,"Warren, Braun and Macdonald","Moody, Castillo and Cole",General Medicine,lhubbard@patel-watts.net
23339,Alexis Johns,Pediatrics,884.713.4373x1712,7,Clark-Fowler,Martinez-Lynch,Orthopedics,benjaminwilson@hotmail.com
63746,Nicole Jones,Cardiology,(991)602-3322,28,Armstrong-Brown,"Mcdaniel, Fleming and Wong",Pediatrics,chaneykrystal@weber.com
10317,Mary Phillips,Orthopedics,+1-545-576-5752x81332,1,Harris-Perry,"Stone, Petersen and Wilson",Pediatrics,rubiobrenda@gmail.com
79229,Shannon Garcia,Cardiology,001-474-878-3025x4780,21,Simmons-Roth,Davis-Fleming,Orthopedics,thomas47@cooper.biz
71769,Travis Fuller,Neurology,001-822-077-5711x30909,19,Williams Inc,"Ward, Combs and Gamble",Orthopedics,marie20@gmail.com
87049,Barbara Fitzgerald,General Medicine,(627)037-7949x5566,35,Dixon-Moore,Thompson-Taylor,General Medicine,qdavis@church.com
34112,Julia Franklin,General Medicine,239-675-9195x1115,23,"Edwards, Gray and Baker",Reese-Roberts,General Medicine,reynoldsvanessa@lopez.com
93121,Richard Price,Pediatrics,673-848-8266x5162,12,Blevins Inc,Cooper Inc,Pediatrics,reginald37@hotmail.com
5122,Brad Lee,General Medicine,001-022-512-4446x482,17,Griffin and Sons,Bryant and Sons,Pediatrics,andrewfernandez@bryant.biz
78013,Alexis Harris,Neurology,129.148.4004x58624,7,Chaney-Carter,Murillo-Anderson,General Medicine,bhoward@rivera-west.net
49920,Charles Suarez,Cardiology,001-919-623-5829x90114,39,Byrd-Lindsey,Golden-Evans,Cardiology,jacobwalker@gmail.com
19853,Mrs. Michelle Gonzales,General Medicine,(262)244-0988x7952,6,"Miles, Stewart and Yates","Sexton, Rivas and Dyer",Orthopedics,toddalyssa@hotmail.com
34080,Ryan Reynolds,Cardiology,360-171-5149x7866,12,"Ellis, Martinez and Boyd",Stevenson-Watts,Orthopedics,dlong@gmail.com
3760,Rodney Savage,General Medicine,808-665-9651x8723,3,"Villa, Black and Stewart",Olson Ltd,Pediatrics,dfleming@gmail.com
31931,Brittany Johnson,Neurology,001-753-419-2211x0060,37,"Cooley, Torres and Richard",Burnett-Davis,Orthopedics,sarahosborne@hotmail.com
